Timestamp,Operation,ResponseTime(ms),Success
1783156092443,REGISTER_PATIENT,104,true
1783156092551,REGISTER_PATIENT,108,true
1783156092655,REGISTER_PATIENT,103,true
1783156092751,REGISTER_PATIENT,96,true
1783156092850,REGISTER_PATIENT,98,true
1783156092945,REGISTER_PATIENT,94,true
1783156093049,REGISTER_PATIENT,103,true
1783156093192,REGISTER_PATIENT,143,true
1783156093317,REGISTER_PATIENT,124,true
1783156093430,REGISTER_PATIENT,112,true
1783156093527,REGISTER_PATIENT,96,true
1783156093621,REGISTER_PATIENT,93,true
1783156093716,REGISTER_PATIENT,94,true
1783156093812,REGISTER_PATIENT,96,true
1783156093911,REGISTER_PATIENT,98,true
1783156094020,REGISTER_PATIENT,108,true
1783156094126,REGISTER_PATIENT,105,true
1783156094226,REGISTER_PATIENT,100,true
1783156094325,REGISTER_PATIENT,98,true
1783156094423,REGISTER_PATIENT,98,true
1783156094520,REGISTER_PATIENT,97,true
1783156094622,REGISTER_PATIENT,101,true
1783156094727,REGISTER_PATIENT,104,true
1783156094828,REGISTER_PATIENT,100,true
1783156094960,REGISTER_PATIENT,131,true
1783156095106,REGISTER_PATIENT,146,true
1783156095239,REGISTER_PATIENT,132,true
1783156095340,REGISTER_PATIENT,100,true
1783156095439,REGISTER_PATIENT,99,true
1783156095540,REGISTER_PATIENT,100,true
1783156095639,REGISTER_PATIENT,99,true
1783156095753,REGISTER_PATIENT,113,true
1783156095851,REGISTER_PATIENT,98,true
1783156095950,REGISTER_PATIENT,98,true
1783156096052,REGISTER_PATIENT,101,true
1783156096221,REGISTER_PATIENT,168,true
1783156096342,REGISTER_PATIENT,121,true
1783156096438,REGISTER_PATIENT,95,true
1783156096552,REGISTER_PATIENT,113,true
1783156096654,REGISTER_PATIENT,101,true
1783156096751,REGISTER_PATIENT,97,true
1783156096847,REGISTER_PATIENT,95,true
1783156096975,REGISTER_PATIENT,128,true
1783156097105,REGISTER_PATIENT,129,true
1783156097242,REGISTER_PATIENT,136,true
1783156097359,REGISTER_PATIENT,116,true
1783156097468,REGISTER_PATIENT,108,true
1783156097564,REGISTER_PATIENT,96,true
1783156097671,REGISTER_PATIENT,106,true
1783156097774,REGISTER_PATIENT,102,true
1783156097874,REGISTER_PATIENT,99,true
1783156097974,REGISTER_PATIENT,99,true
1783156098080,REGISTER_PATIENT,106,true
1783156098179,REGISTER_PATIENT,99,true
1783156098281,REGISTER_PATIENT,101,true
1783156098382,REGISTER_PATIENT,101,true
1783156098487,REGISTER_PATIENT,105,true
1783156098588,REGISTER_PATIENT,100,true
1783156098694,REGISTER_PATIENT,105,true
1783156098824,REGISTER_PATIENT,130,true
1783156098939,REGISTER_PATIENT,114,true
1783156099097,REGISTER_PATIENT,156,true
1783156099200,REGISTER_PATIENT,101,true
1783156099300,REGISTER_PATIENT,100,true
1783156099398,REGISTER_PATIENT,97,true
1783156099498,REGISTER_PATIENT,99,true
1783156099597,REGISTER_PATIENT,99,true
1783156099695,REGISTER_PATIENT,97,true
1783156099790,REGISTER_PATIENT,95,true
1783156099889,REGISTER_PATIENT,98,true
1783156099999,REGISTER_PATIENT,110,true
1783156100100,REGISTER_PATIENT,101,true
1783156100196,REGISTER_PATIENT,95,true
1783156100294,REGISTER_PATIENT,98,true
1783156100398,REGISTER_PATIENT,104,true
1783156100495,REGISTER_PATIENT,96,true
1783156100599,REGISTER_PATIENT,103,true
1783156100721,REGISTER_PATIENT,122,true
1783156100863,REGISTER_PATIENT,141,true
1783156100970,REGISTER_PATIENT,107,true
1783156101070,REGISTER_PATIENT,99,true
1783156101181,REGISTER_PATIENT,110,true
1783156101283,REGISTER_PATIENT,102,true
1783156101383,REGISTER_PATIENT,99,true
1783156101478,REGISTER_PATIENT,94,true
1783156101573,REGISTER_PATIENT,95,true
1783156101666,REGISTER_PATIENT,92,true
1783156101761,REGISTER_PATIENT,95,true
1783156101860,REGISTER_PATIENT,98,true
1783156101954,REGISTER_PATIENT,94,true
1783156102054,REGISTER_PATIENT,99,true
1783156102151,REGISTER_PATIENT,96,true
1783156102246,REGISTER_PATIENT,95,true
1783156102342,REGISTER_PATIENT,95,true
1783156102452,REGISTER_PATIENT,110,true
1783156102604,REGISTER_PATIENT,151,true
1783156102716,REGISTER_PATIENT,112,true
1783156102835,REGISTER_PATIENT,117,true
1783156102965,REGISTER_PATIENT,129,true
1783156103089,REGISTER_PATIENT,124,true
1783156103212,REGISTER_PATIENT,123,true
1783156103325,REGISTER_PATIENT,112,true
1783156103438,REGISTER_PATIENT,113,true
1783156103559,REGISTER_PATIENT,119,true
1783156103675,REGISTER_PATIENT,116,true
1783156103790,REGISTER_PATIENT,114,true
1783156103905,REGISTER_PATIENT,115,true
1783156104039,REGISTER_PATIENT,133,true
1783156104172,REGISTER_PATIENT,133,true
1783156104290,REGISTER_PATIENT,117,true
1783156104404,REGISTER_PATIENT,113,true
1783156104531,REGISTER_PATIENT,126,true
1783156104676,REGISTER_PATIENT,144,true
1783156104833,REGISTER_PATIENT,157,true
1783156104973,REGISTER_PATIENT,138,true
1783156105097,REGISTER_PATIENT,123,true
1783156105213,REGISTER_PATIENT,115,true
1783156105351,REGISTER_PATIENT,137,true
1783156105472,REGISTER_PATIENT,120,true
1783156105589,REGISTER_PATIENT,116,true
1783156105713,REGISTER_PATIENT,124,true
1783156105841,REGISTER_PATIENT,127,true
1783156105953,REGISTER_PATIENT,112,true
1783156106074,REGISTER_PATIENT,120,true
1783156106192,REGISTER_PATIENT,117,true
1783156106309,REGISTER_PATIENT,117,true
1783156106434,REGISTER_PATIENT,124,true
1783156106554,REGISTER_PATIENT,118,true
1783156106677,REGISTER_PATIENT,122,true
1783156106790,REGISTER_PATIENT,113,true
1783156106931,REGISTER_PATIENT,140,true
1783156107086,REGISTER_PATIENT,154,true
1783156107224,REGISTER_PATIENT,137,true
1783156107350,REGISTER_PATIENT,126,true
1783156107475,REGISTER_PATIENT,124,true
1783156107596,REGISTER_PATIENT,120,true
1783156107713,REGISTER_PATIENT,116,true
1783156107828,REGISTER_PATIENT,114,true
1783156107940,REGISTER_PATIENT,111,true
1783156108059,REGISTER_PATIENT,118,true
1783156108175,REGISTER_PATIENT,116,true
1783156108302,REGISTER_PATIENT,126,true
1783156108429,REGISTER_PATIENT,126,true
1783156108559,REGISTER_PATIENT,130,true
1783156108687,REGISTER_PATIENT,127,true
1783156108802,REGISTER_PATIENT,114,true
1783156108914,REGISTER_PATIENT,112,true
1783156109041,REGISTER_PATIENT,126,true
1783156109182,REGISTER_PATIENT,140,true
1783156109338,REGISTER_PATIENT,156,true
1783156109484,REGISTER_PATIENT,145,true
1783156109614,REGISTER_PATIENT,129,true
1783156109734,REGISTER_PATIENT,119,true
1783156109849,REGISTER_PATIENT,114,true
1783156109967,REGISTER_PATIENT,118,true
1783156110085,REGISTER_PATIENT,117,true
1783156110211,REGISTER_PATIENT,125,true
1783156110331,REGISTER_PATIENT,120,true
1783156110468,REGISTER_PATIENT,136,true
1783156110595,REGISTER_PATIENT,126,true
1783156110724,REGISTER_PATIENT,128,true
1783156110837,REGISTER_PATIENT,113,true
1783156110963,REGISTER_PATIENT,125,true
1783156111078,REGISTER_PATIENT,115,true
1783156111196,REGISTER_PATIENT,117,true
1783156111310,REGISTER_PATIENT,113,true
1783156111444,REGISTER_PATIENT,132,true
1783156111596,REGISTER_PATIENT,152,true
1783156111745,REGISTER_PATIENT,146,true
1783156111871,REGISTER_PATIENT,125,true
1783156111993,REGISTER_PATIENT,121,true
1783156112117,REGISTER_PATIENT,124,true
1783156112235,REGISTER_PATIENT,117,true
1783156112350,REGISTER_PATIENT,114,true
1783156112461,REGISTER_PATIENT,110,true
1783156112580,REGISTER_PATIENT,119,true
1783156112699,REGISTER_PATIENT,118,true
1783156112815,REGISTER_PATIENT,116,true
1783156112930,REGISTER_PATIENT,114,true
